Date|Value
03/27/2024 06:10:24|12.3
03/27/2024 06:25:24|12.5
03/27/2024 06:40:24|12.7
03/27/2024 06:55:24|12.9
03/27/2024 07:25:24|13
03/27/2024 08:40:24|13.3
03/27/2024 09:25:23|13.3
03/27/2024 09:40:23|13.4
03/27/2024 09:55:23|13.5
03/27/2024 10:10:23|13.5
03/27/2024 10:25:23|13.7
03/27/2024 10:40:23|13.7
03/27/2024 10:55:23|13.8
03/27/2024 11:10:23|13.8
03/27/2024 11:25:23|13.8
03/27/2024 11:40:23|13.9
03/27/2024 11:55:23|14
03/27/2024 12:10:23|14
03/27/2024 12:25:23|14.3
03/27/2024 12:40:23|14.3
03/27/2024 12:55:23|14.5
03/27/2024 13:10:23|14.8
03/27/2024 13:25:23|14.7
03/27/2024 13:40:23|14.7
03/27/2024 13:55:23|14.7
03/27/2024 14:10:23|14.7
03/27/2024 14:25:23|14.8
03/27/2024 14:40:22|14.8
03/27/2024 14:55:22|14.9
03/27/2024 15:10:22|14.9
03/27/2024 15:25:22|14.9
03/27/2024 15:40:22|14.9
03/27/2024 15:55:22|14.9
03/27/2024 16:10:22|14.9
03/27/2024 16:25:22|14.9
03/27/2024 16:40:22|15
03/27/2024 16:55:22|14.9
03/27/2024 17:10:22|14.9
03/27/2024 17:25:22|14.9
03/27/2024 17:40:22|15
03/27/2024 17:55:22|15
03/27/2024 18:10:22|14.9
03/27/2024 18:25:22|14.9
03/27/2024 18:40:22|14.9
03/27/2024 18:55:22|14.9
03/27/2024 19:10:22|14.9
03/27/2024 19:25:22|14.9
03/27/2024 19:40:22|14.9
03/27/2024 19:55:21|14.9
03/27/2024 20:10:21|14.9
03/27/2024 20:25:21|14.9
03/27/2024 20:40:21|14.8
03/27/2024 20:55:21|14.9
03/27/2024 21:10:21|14.8
03/27/2024 21:25:21|14.8
03/27/2024 21:40:21|14.8
03/27/2024 21:55:21|14.8
03/27/2024 22:10:21|14.8
03/27/2024 22:25:21|14.8
03/27/2024 22:40:21|14.8
03/27/2024 22:55:21|14.8
03/27/2024 23:10:21|14.8
03/27/2024 23:25:21|14.8
03/27/2024 23:40:21|14.8
03/27/2024 23:55:21|14.8
03/28/2024 00:10:21|14.8
03/28/2024 00:25:21|14.7
03/28/2024 00:40:21|14.8
03/28/2024 00:55:20|14.8
03/28/2024 01:10:20|14.7
03/28/2024 01:25:20|14.7
03/28/2024 01:40:20|14.7
03/28/2024 01:55:20|14.7
03/28/2024 02:10:20|14.7
03/28/2024 02:25:20|14.7
03/28/2024 02:40:20|14.7
03/28/2024 02:55:20|14.7
03/28/2024 03:10:20|14.7
03/28/2024 03:25:20|14.6
03/28/2024 03:40:20|14.6
03/28/2024 03:55:20|14.6
03/28/2024 04:10:20|14.5
03/28/2024 04:25:20|14.5
03/28/2024 04:40:20|14.5
03/28/2024 04:55:20|14.5
03/28/2024 05:10:20|14.4
03/28/2024 05:25:20|14.5
03/28/2024 05:40:20|14.4
03/28/2024 05:55:20|14.4
03/28/2024 06:10:19|14.4
03/28/2024 06:25:19|14.6
03/28/2024 06:40:19|14.7
03/28/2024 06:55:19|14.8
03/28/2024 07:10:19|14.9
03/28/2024 07:25:19|14.9
03/28/2024 07:40:19|14.8
03/28/2024 07:55:19|14.8
03/28/2024 08:10:19|14.8
03/28/2024 08:25:19|14.9
03/28/2024 08:40:19|14.9
03/28/2024 08:55:19|14.9
03/28/2024 09:10:19|14.9
03/28/2024 09:25:19|15
03/28/2024 09:40:19|15
03/28/2024 09:55:19|15
03/28/2024 10:10:19|15
03/28/2024 10:25:19|15
03/28/2024 10:40:19|15
03/28/2024 10:55:19|15
03/28/2024 11:10:19|15.1
03/28/2024 11:25:18|15.1
03/28/2024 11:40:18|15.4
03/28/2024 11:55:18|15.3
03/28/2024 12:10:18|15.4
03/28/2024 12:25:18|15.4
03/28/2024 12:40:18|15.5
03/28/2024 12:55:18|15.4
03/28/2024 13:10:18|15.4
03/28/2024 13:25:18|15.4
03/28/2024 13:40:18|15.4
03/28/2024 13:55:18|15.4
03/28/2024 14:10:18|15.4
03/28/2024 14:25:18|15.4
03/28/2024 14:40:18|15.4
03/28/2024 14:55:18|15.4
03/28/2024 15:10:18|15.5
03/28/2024 15:25:18|15.4
03/28/2024 15:40:18|15.4
03/28/2024 15:55:18|15.4
03/28/2024 16:10:18|15.4
03/28/2024 16:25:17|15.5
03/28/2024 16:40:17|15.5
03/28/2024 16:55:17|15.4
03/28/2024 17:10:17|15.5
03/28/2024 17:25:17|15.4
03/28/2024 17:40:17|15.4
03/28/2024 17:55:17|15.4
03/28/2024 18:10:17|15.3
03/28/2024 18:25:17|15.3
03/28/2024 18:40:17|15.2
03/28/2024 18:55:17|15.2
03/28/2024 19:10:17|15.2
03/28/2024 19:25:17|15.2
03/28/2024 19:40:17|15.1
03/28/2024 19:55:17|15.2
03/28/2024 20:10:17|15.1
03/28/2024 20:25:17|15
03/28/2024 20:40:17|15
03/28/2024 20:55:17|14.9
03/28/2024 21:10:17|14.9
03/28/2024 21:25:17|14.9
03/28/2024 21:40:16|14.9
03/28/2024 21:55:16|14.8
03/28/2024 22:10:16|14.8
03/28/2024 22:25:16|14.7
03/28/2024 22:40:16|14.7
03/28/2024 22:55:16|14.7
03/28/2024 23:10:16|14.7
03/28/2024 23:25:16|14.6
03/28/2024 23:40:16|14.6
03/28/2024 23:55:16|14.5
03/29/2024 00:10:16|14.5
03/29/2024 00:25:16|14.5
03/29/2024 00:40:16|14.5
03/29/2024 00:55:16|14.4
03/29/2024 01:10:16|14.4
03/29/2024 01:25:16|14.4
03/29/2024 01:40:16|14.3
03/29/2024 01:55:16|14.3
03/29/2024 02:10:16|14.2
03/29/2024 02:25:16|14.2
03/29/2024 02:40:15|14.2
03/29/2024 02:55:15|14.1
03/29/2024 03:10:15|14.1
03/29/2024 03:25:15|14.1
03/29/2024 03:40:15|14
03/29/2024 03:55:15|14
03/29/2024 04:10:15|13.9
03/29/2024 04:25:15|13.9
03/29/2024 04:40:15|13.8
03/29/2024 04:55:15|13.8
03/29/2024 05:10:15|13.8
03/29/2024 05:25:15|13.8
03/29/2024 05:40:15|13.7
03/29/2024 05:55:15|13.7
03/29/2024 06:10:15|13.7
03/29/2024 06:25:15|13.9
03/29/2024 06:40:15|14.1
03/29/2024 06:55:15|14.2
03/29/2024 07:10:15|14.2
03/29/2024 07:25:15|14.2
03/29/2024 07:40:15|14.1
03/29/2024 07:55:14|14.2
03/29/2024 08:10:14|14.3
03/29/2024 08:25:14|14.3
03/29/2024 08:40:14|14.2
03/29/2024 08:55:14|14.2
03/29/2024 09:10:14|14.3
03/29/2024 09:25:14|14.3
03/29/2024 09:40:14|14.3
03/29/2024 09:55:14|14.3
03/29/2024 10:10:14|14.4
03/29/2024 10:25:14|14.4
03/29/2024 10:40:14|14.4
